dataset,n,m,t,k,topology,bs_edges,bs_ratio,bs_avg_stretch,bs_max_stretch,bs_time_ms,bs_valid,has_edges,has_ratio,has_avg_stretch,has_max_stretch,has_time_ms,has_valid,has_pruned,has_improvement_pct,gr_edges,gr_ratio,gr_avg_stretch,gr_time_ms,gr_valid
Erdos-Renyi (1K),1000,4985,3,2,random,4985,1.0,1.0,1.0,8.01,True,4842,0.9713,1.01,1.3333,2045.44,True,139,2.87,4194,0.8413,1.0825,570.42,True
Erdos-Renyi (1K),1000,4985,5,3,random,4985,1.0,1.0,1.0,11.07,True,2920,0.5858,1.2575,1.6667,2744.29,True,2063,41.42,2369,0.4752,1.3367,521.34,True
Grid (30x30),900,1740,3,2,grid-like,1740,1.0,1.0,1.0,3.2,True,1740,1.0,1.0,1.0,186.72,True,0,0.0,1319,0.758,1.0044,103.64,True
Grid (30x30),900,1740,5,3,grid-like,1740,1.0,1.0,1.0,3.31,True,1216,0.6989,1.0979,1.6667,272.63,True,524,30.11,1169,0.6718,1.016,99.39,True
Barabasi-Albert (1K),1000,2991,3,2,scale-free,2990,0.9997,1.0,1.0,5.16,True,2832,0.9468,1.0378,1.5,864.94,True,157,5.28,2325,0.7773,1.0967,269.98,True
Barabasi-Albert (1K),1000,2991,5,3,scale-free,2991,1.0,1.0,1.0,6.18,True,1906,0.6372,1.2838,2.5,1148.05,True,1085,36.28,1213,0.4055,1.3005,239.67,True
Small-World (1K),1000,3000,3,2,small-world,2999,0.9997,1.0,1.0,5.14,True,2098,0.6993,1.0924,1.6667,759.53,True,899,30.04,1578,0.526,1.1162,166.35,True
Small-World (1K),1000,3000,5,3,small-world,3000,1.0,1.0,1.0,5.84,True,1861,0.6203,1.1876,2.25,797.5,True,1139,37.97,1380,0.46,1.1903,166.82,True
"Erdos-Renyi (500, dense)",500,6162,3,2,random,6161,0.9998,1.0,1.0,9.86,True,4646,0.754,1.12,3.0,3004.43,True,1495,24.59,2561,0.4156,1.3133,303.64,True
"Erdos-Renyi (500, dense)",500,6162,5,3,random,6159,0.9995,1.0,1.0,12.71,True,3081,0.5,1.2933,3.0,3203.39,True,3081,49.98,570,0.0925,2.015,216.49,True
