dataset,n,m,t,k,bs_edges,bs_sparseness,bs_avg_stretch,bs_max_stretch,bs_median_stretch,bs_p95_stretch,bs_std_stretch,bs_time_ms,gr_edges,gr_sparseness,gr_avg_stretch,gr_max_stretch,gr_time_ms
Erdos-Renyi (1K),1000,4985,3,2,4985,1.0,1.0,1.0,1.0,1.0,0.0,7.77,4194,0.8413,1.0825,1.6667,546.82
Erdos-Renyi (1K),1000,4985,5,3,4985,1.0,1.0,1.0,1.0,1.0,0.0,10.07,2369,0.4752,1.3367,2.0,491.56
Erdos-Renyi (1K),1000,4985,7,4,4984,0.9998,1.0,1.0,1.0,1.0,0.0,12.16,1286,0.258,1.8117,7.0,426.47
Grid (30x30),900,1740,3,2,1740,1.0,1.0,1.0,1.0,1.0,0.0,3.38,1319,0.758,1.0044,1.25,95.58
Grid (30x30),900,1740,5,3,1740,1.0,1.0,1.0,1.0,1.0,0.0,3.15,1169,0.6718,1.016,2.0,93.71
Grid (30x30),900,1740,7,4,1740,1.0,1.0,1.0,1.0,1.0,0.0,3.8,1109,0.6374,1.0108,1.2857,92.1
Barabasi-Albert (1K),1000,2991,3,2,2990,0.9997,1.0,1.0,1.0,1.0,0.0,4.77,2325,0.7773,1.0967,2.0,253.84
Barabasi-Albert (1K),1000,2991,5,3,2991,1.0,1.0,1.0,1.0,1.0,0.0,5.7,1213,0.4055,1.3005,2.5,221.85
Barabasi-Albert (1K),1000,2991,7,4,2990,0.9997,1.0,1.0,1.0,1.0,0.0,6.62,999,0.334,1.3467,2.5,217.99
Small-World (1K),1000,3000,3,2,2999,0.9997,1.0,1.0,1.0,1.0,0.0,4.92,1578,0.526,1.1162,1.5,158.83
Small-World (1K),1000,3000,5,3,3000,1.0,1.0,1.0,1.0,1.0,0.0,5.07,1380,0.46,1.1903,1.75,155.87
Small-World (1K),1000,3000,7,4,3000,1.0,1.0,1.0,1.0,1.0,0.0,6.01,1296,0.432,1.271,2.0,162.35
