dataset,n,m,t,k,bs_edges,bs_sparseness,bs_avg_stretch,bs_max_stretch,bs_median_stretch,bs_p95_stretch,bs_std_stretch,bs_time_ms,gr_edges,gr_sparseness,gr_avg_stretch,gr_max_stretch,gr_time_ms
Erdos-Renyi (1K),1000,4985,3,2,4984,0.9998,1.0033,1.3333,1.0,1.0,0.0333,9.38,4194,0.8413,1.0825,1.6667,662.41
Erdos-Renyi (1K),1000,4985,5,3,4985,1.0,1.0,1.0,1.0,1.0,0.0,11.23,2369,0.4752,1.3367,2.0,566.99
Erdos-Renyi (1K),1000,4985,7,4,4984,0.9998,1.0,1.0,1.0,1.0,0.0,14.14,1286,0.258,1.8117,7.0,484.78
Grid (30x30),900,1740,3,2,1740,1.0,1.0,1.0,1.0,1.0,0.0,3.08,1319,0.758,1.0044,1.25,110.05
Grid (30x30),900,1740,5,3,1740,1.0,1.0,1.0,1.0,1.0,0.0,3.46,1169,0.6718,1.016,2.0,114.04
Grid (30x30),900,1740,7,4,1740,1.0,1.0,1.0,1.0,1.0,0.0,4.89,1109,0.6374,1.0108,1.2857,107.63
Barabasi-Albert (1K),1000,2991,3,2,2985,0.998,1.0,1.0,1.0,1.0,0.0,5.57,2325,0.7773,1.0967,2.0,287.06
Barabasi-Albert (1K),1000,2991,5,3,2991,1.0,1.0,1.0,1.0,1.0,0.0,6.06,1213,0.4055,1.3005,2.5,261.18
Barabasi-Albert (1K),1000,2991,7,4,2990,0.9997,1.0,1.0,1.0,1.0,0.0,7.43,999,0.334,1.3467,2.5,256.38
Small-World (1K),1000,3000,3,2,2998,0.9993,1.0,1.0,1.0,1.0,0.0,5.07,1578,0.526,1.1162,1.5,178.12
Small-World (1K),1000,3000,5,3,3000,1.0,1.0,1.0,1.0,1.0,0.0,5.49,1380,0.46,1.1903,1.75,168.94
Small-World (1K),1000,3000,7,4,3000,1.0,1.0,1.0,1.0,1.0,0.0,6.68,1296,0.432,1.271,2.0,182.86
